,text,aspectCategory,polarity
404,Chinese Desserts are known for healthful benefits in addition to the sweetness.,food,positive
405,And really large portions.,food,positive
406,This is a great Thai restaurant with a very friendly staff.,service,positive
407,I ordered the smoked salmon and roe appetizer and it was off flavor.,food,negative
408,"We went here for lunch a couple of weeks ago on a Saturday, and I was thoroughly impressed with the food.",food,positive
409,"I recommend the garlic shrimp, okra (bindi), and anything with lamb.",food,positive
410,"The menu was impressive with selections ranging from a burger, to steak, to escargot.",food,positive
411,"In fact, two people could really share one plate.",food,positive
412,The food is great and authentic.,food,positive
413,"Anyway, the food is good, the price is right and they have a decent wine list.",price,positive
414,Prices are higher to dine in and their chicken tikka marsala is quite good.,price,negative
415,This place has many different styles of pizza and they are all amazing.,food,positive
416,The photos of the restaurant in its web site are way better than the real look.,ambience,negative
417,The food was lousy - too sweet or too salty and the portions tiny.,food,negative
418,But the coconut rice was good.,food,positive
419,It took them 25 minutes to bring our appetizer.,service,negative
420,The food was great.,food,positive
421,Pair you food with the excellent beers on tap or their well priced wine list.,price,positive
422,If you like your music blasted and the system isnt that great and if you want to pay at least 100 dollar bottle minimun then you'll love it here.,price,negative
423,All of my co-workers stated that the food was amazing and wondered why they hadn't heard about this place.,food,positive
424,Metrazur has a beautiful spot overlooking the main terminal.,ambience,positive
425,Friendly staff that actually lets you enjoy your meal and the company you're with.,service,positive
426,The restaurant is rather small but we were lucky to get a table quickly.,ambience,negative
427,I love this cozy around the way Rest.,ambience,positive
428,"Quality of food is excellent and price is cheap, stick to pork, fish, chicken, lamb and vegetables.",price,positive
429,"The place is a little tight and on a cold day, the seating by the entranceway can be pretty drafty.",ambience,negative
430,The appetizing is excellent - just as good as Zabars Barney Greengrass at a reasonable price (if bought by the pound).,price,positive
431,"But, they were too big for the bun.",food,negative
432,"The food is fresh, delicious, and reasonably priced.",price,positive
433,Raga stands out with an interesting fusion of French and Indian cooking.,food,positive
434,"A few tips: skip the turnip cake, roast pork buns and egg custards.",food,negative
435,The bagels are fabulous.,food,positive
436,"Oh yes, and they lie on the phone, claiming they have seating in the garden, then of course the seats are not available.",service,negative
437,Although they do the typical what kind of water would you like questions the service was good and overall very relaxing to place to eat.,ambience,positive
438,"The food was very good, a great deal, and the place its self was great.",ambience,positive
439,The food options rule.,food,positive
440,A great choice at any cost and a great deal.,price,positive
441,"Anybody who likes this place must be from a different planet, where greasy, dry and tasteless are complimentary.",food,negative
442,"We ate here in March, 2006 and ordered the pre-theatre 3-course dinner with wine flight.",food,neutral
443,"Probably much busier for lunch, it's seldom crowded for dinner (too close to downtown).",ambience,neutral
444,"Their calzones are horrific, bad, vomit-inducing, YUCK.",food,negative
445,It takes forever to get a drink and they almost always forget to bring something (although they dont forget to charge you for it.,service,negative
446,The place itself is beautiful the bar scene seems to be happening.,ambience,positive
447,"Saturday, Nov. 6th I had a group from work come in with about 35 people and the staff was amazing to accomodate us.",service,positive
448,"Good spreads, great beverage selections and bagels really tasty.",food,positive
449,"First, the waiter who served us neglected to fill us in on the specials, which I would have chosen had I known about them.",service,negative
450,"Also, top the meal with a delicious and perfect slice of tiramisu.",food,positive
451,Check out the secret back room.,ambience,positive
452,"It's also attached to Angel's Share, which is a cool, more romantic bar...",ambience,positive
453,"Authentic food and they have REAL service, not just the rush you get sometimes when they try to push you out the door.",service,positive
454,Stick to the gulab jamun.,food,positive
455,"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",price,positive
456,I was back-to-back with the diner at the table behind me and wait staff had to hoist trays over our heads as they squeezed past us again and again.,ambience,negative
457,With the theater 2 blocks away we had a delicious meal in a beautiful room.,ambience,positive
458,"I was a little leary about Mary's at first - it's small, crowded and you usually have to wait on line - but I'm glad I finally tried it.",ambience,negative
459,Also very inexpensive.,price,positive
460,By far this is the only chinese desserts place I know in NY or anywhere close in the Northeastern America that serves desserts with frog jelly in a couple of varieties and pig feet ginger simmered in black vinegar.,food,positive
461,The food is great and reasonably priced.,price,positive
462,The characters really make for an enjoyable experience.,ambience,positive
463,I would definitely recommend SEA if you like thai cuisine!,food,positive
464,"Over the years the host, Vittorio, and his crew, have always treated me as family--although with all the business this not-so-little gem does, it amazing he's even able to remember a consistent but not-so-frequent visitor.",service,positive
465,"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.",price,positive
466,"My husband said he could've eaten several more, the portion was fine for me he even exclaimed that the french fries were the best he has had.",food,conflict
467,"The food is delicious - from the specials to the regular menu-fare, the dishes are never a disappointment.",food,positive
468,Prices are in line.,price,neutral
469,"The combination of fresh tomato sauce, fresh mozz cheese, basil and the dough they make with imported flour, makes this is one of the better pizza's in NY.",food,positive
470,The food is prepared quickly and efficiently.,food,positive
471,and for this i had to shell out a small fortune?,price,negative
472,"For all of you new to Indian food, try the Paneer Roll, it is a piece of heaven.",food,positive
473,The food looked very appetizing and delicious since it came on a variety of fancy plates.,food,positive
474,Both the fresh mozzerella slices and the Plain Cheese slice are phenomenal.,food,positive
475,"The food is terrible and overall, I would have to say avoid at all costs.",food,negative
476,"Unfortunately, the food was NOT something to get worked up about.",food,negative
477,"It's constantly open, catering to the Pakistani cabbies lined up on Crosby St., so there's more turnover with the food than you'd expect (i.e., surprisingly fresh).",ambience,positive
478,I had Filet Mignon with garlic mash.,food,neutral
479,"I went at 6:00 PM specifically for the pre-theater menu ($19.95 for roasted tomato soup with chevre, steak frites, creme brulee) and it was marvelous.",price,positive
480,"The waitstaff were attentive, polite and helpful - an impressive feat in such close quarters.",service,positive
481,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",food,positive
482,"Yes, the prices are high, but I felt it was worth it.",price,conflict
483,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",food,positive
484,"Have always found that the waiters will go out of their way to be helpful, despite the fact they are often busy with lots of diners.",service,positive
485,"While this isn't classical restaurant fare, the chef has given new life to an old cuisine with some really innovative and tasty dishes that are genuinely Indian without being heavy or same old restaurant burn-outs.",food,positive
486,The owner truly caters to all your needs.,service,positive
487,He takes real pride in his food and his business.,food,positive
488,"So if you want a nice, enjoyable meal at Montparnasse, go early for the pre-theater prix-fixe.",price,positive
489,"Over the years, it has always provided a pleasurable dining experience with quality food and wine.",food,positive
490,"The photobook menu was a cute touch, certainly helped my group and I pick the fried chicken, pork chop, and noodle dishes that we all ordered.",food,positive
491,too large for just two people but nothing was left.,food,positive
492,I cannot imagine better Indian food in all of the city.,food,positive
493,Great romantic place for a date (try to get the corner booth table for a little privacy and to sit close!).,ambience,positive
494,I asked for an open faced cheese sandwich and the manager basically told me to take my business elsewhere!,service,negative
495,If you don't mind all that noise then go to the Chart House.,ambience,conflict
496,very good breads as well.,food,positive
497,We were fans of the half-price Saturday night option until some inedible squid during a recent visit.,price,positive
498,"So, if yo really don't care who is sittingnext to you, which is about 2 inches away, I would say try it.",ambience,conflict
499,"Pizza is terrific, as is homemade pasta.",food,positive
500,This is a wonderful place on all stand points especially value ofr money.,price,positive
501,Example is the soup which was about 6 oz for $12 dollars and the mushrooms where $12 for about 1oz.,price,positive
502,"Service is not exactly five star, but thats not really a big deal.",service,conflict
503,There are other people waiting!,service,neutral
504,"From beginning appetizers, the scallops were incredible, to the delicious chocolate souffle with rasberry mint sorbet, we were delighted by the taste sensations.",food,positive
505,Consistently good Japanese Tapas.,food,positive
506,"My goodness, everything from the fish to the rice to the seaweed was absolutely amazing.",food,positive
507,"The dishes offered were unique, very tasty and fresh from the lamb sausages, sardines with biscuits, large whole shrimp to the amazing pistachio ice cream (the best and freshest I've ever had).",food,positive
508,The food is reliable and the price is moderate.,price,neutral
509,"Aside from the bearded, courdoroy blazer professor type with the NYU student he's sleeping with that week, you see a strange mix of hipsters, frat boys, Will Smith types who need to be told they are black, bitter cougars who cant understand why they arent married yet....",ambience,neutral
510,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",ambience,positive
511,The server was really cool and served us our food and drinks with a smile.,service,positive
512,"Planet Thailand has always been a hit with me , I go there usually for the sushi, which is great , the thai food is excellent too .",food,positive
513,I had to share my table with a loud group of kids and the service was rude an unattentive.,ambience,negative
514,The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,food,positive
515,"We recently decided to try this location, and to our delight, they have outdoor seating, perfect since I had my yorkie with me.",ambience,positive
516,"My husband had the mesclun, salmon, and ice cream and he enjoyed all 3 courses.",food,positive
517,The food is usually good but it certainly isn't a relaxing place to go.,ambience,negative
518,"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",ambience,positive
519,The prices were fantastic.,price,positive
520,"Still, any quibbles about the bill were off-set by the pour-your-own measures of liquers which were courtesey of the house...",price,conflict
521,"The table service could have been a little more attentive but as someone who also works in the service industry, I understood they were busy.",service,conflict
522,"It's not mind-blowing, but to me, thai food never is and never will be.",food,neutral
523,"Food was very good as well, considering that we tried the budget selection (though I wish the pork belly that I ordered was roasted a bit longer, so that fat was more of a melt-in-your-mouth experience).",food,conflict
524,"Although, one night we went it was super cheesy, and another night it was less cheesy.",food,conflict
525,"Even though it is a little loud, you don't have to yell at each other to talk.",ambience,conflict
526,"i've been to sapphire twice and both times the food was fine, if not good.",food,positive
527,It is kinda nosiy and the tables are close together but it's still a beautiful place to enjoy a nice dinner.,ambience,conflict
528,I love the fact that the pizza tastes so good and is so cheap.,price,positive
529,Nicky the Nose at the bar is a treat.,service,positive
530,"Service was prompt, friendly and great.",service,positive
531,"I haven't eat a lamb chop as delicious as that,the salads are really nice dressed with lemon and extra virgnin olive oil.",food,positive
532,The sushi was awful!,food,negative
533,You can get an excellent meal at most of the many Indian restaurants on nearby Lexington Avenue for the cost of one the dainty dishes here.,price,negative
534,"The Pastrami sandwich was like buttah and with pickles and an icy cold beer to wash it down, it was a pleasurable experience.",food,positive
535,The plain pizza was soggy and the creative wild mushroom(third generation-Fornini) pizza we had was drenched with truffle oil in the middle( again making it soggy) and nothingon the rest.,food,negative
536,"Late nite omelletes are not good here, there is no variety!",food,negative
537,Everything at Sala Thai is tasty and well-portioned.,food,positive
538,"After all that, they complained to me about the small tip.",service,negative
539,It's a great place to pick up a cheap lunch or dinner.,price,positive
540,"Behind this counter, two men are squeezed in.",ambience,negative
541,"Whenever you need a Sushi fix, Mizu will be there with quality fish and great service.",service,positive
542,"Our waitress was sweet and accomodating, not overbearing.",service,positive
543,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,service,negative
544,The website and rating makes this place look wonderful but in reality it was very disappointing.,ambience,conflict
545,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",food,conflict
546,The outdoor atmosphere of sitting on the sidewalk watching the world go by 50 feet away on 6th avenue on a cool evening was wonderful.,ambience,positive
547,"A large is $20, and toppings are about $3 each.",price,negative
548,It is not worth for that bucks.,price,negative
549,Add to that great service and great food at a reasonable price and you have yourself the beginning of a great evening.,price,positive
550,"For many people, this may not seem like Aunthentic Thai food because most places in NYC arent quite authentic.",food,negative
551,"Oh, don't even let me start with how expensive the bills were!",price,negative
552,The scallion pancakes and fried dumplings were nothing out of the ordinary.,food,neutral
553,"All the appetizers and salads were fabulous, the steak was mouth watering and the pasta was delicious!!!",food,positive
554,"Besides having the table we had been promised given to other restaurant patrons twice before we were actually seated, we were served dishes we hadn't ordered three times, received one of our orders 20 minutes after the rest of the table had been served (and that order was undercooked), and charged $45 more than we should have been on our bill.",price,negative
555,Service is top notch.,service,positive
556,The food now is inconsistent.,food,negative
557,I was pretty much full after our fondue appetizer.,food,positive
558,BE CAREFUL before you request extra spice.,food,neutral
559,The octopus eaters were floored by the Octopus salad.,food,positive
560,We thought that this place is using too much of MSG cooking in the foods.,food,negative
561,And the Tom Kha soup was pathetic.,food,negative
562,I started out with a Bombay beer which was big enough for two.,food,positive
563,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",ambience,positive
564,Service was quick.,service,positive
565,Drawbacks: service is slow and they don't toast!,service,negative
566,The sweet lassi was excellent as was the lamb chettinad and the garlic naan but the rasamalai was forgettable.,food,conflict
567,"We've been following chef Lyle's food around New York for 15 years and while remaining classic, his innovations with bistro fare have made us return and return.",food,positive
568,The best thing I tasted were the lambchops.,food,positive
569,it's delicious!,food,positive
570,The spicy tuna and salmon are the best we've ever had.,food,positive
571,"Even though its good seafood, the prices are too high.",price,negative
572,"In addition, the food is very good and the prices are reasonable.",price,positive
573,"Upon entering, we were greeted by the owners, Steven and Frederick, who went out of their way to be more than gracious hosts.",service,positive
574,"Meat dishes now adorn the selections, although there's still a large number of vegetarian-friendly choices.",food,neutral
575,Reasonable prices.,price,positive
576,they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,service,positive
577,"Try the crunchy tuna, it is to die for.",food,positive
578,It won't break the bank but I also wouldnt come back for the food.,price,conflict
579,It is a lot of fun with live entertainment and all kinds of Disney type special effects.,ambience,positive
580,"if you're looking for perfect traditional sushi, go here - if you're looking for interesting combinations, try sushi of gari's (east side).",food,positive
581,"No refills on fountain drinks, though.",food,negative
582,Wow over 100 beers to choose from.,food,positive
583,Be careful of portions - they're HUGE.,food,positive
584,"The Steak Tartare is a great bet, they fix it for you at the table.",food,positive
585,My first time there I happened not to like the Crab Croquette apt that i ordered and they were happy to change it for me without making no big deal.,food,negative
586,Great for large groups and celebrations - our SUPER HAPPY waiter was the entertainment of the evening.,service,positive
587,Did I mention the wine?,food,neutral
588,"Plus, on Wednesday nights the house wine is unlimited!",food,positive
589,Now it's so crowded and loud you can't even talk to the person next to you.,ambience,negative
590,Even my Indian friend couldn't believe how good and tasty everything was.,food,positive
591,like saying her bread comes from a special bakery when we have seen her buying it dowtown manhathan.,service,negative
592,The dim sum servings here are a bit larger than I'm used to.,food,neutral
593,"However, in the summer of 2003, it seems the management has changed and the great big door has been replaced for a glass front ridding itself of the dark romantic getup.",ambience,negative
594,We won't go to this place again for a good meal.,food,negative
595,It's a much more grown up restaurant compared to the rest of the street.,ambience,neutral
596,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",food,conflict
597,We were treated with attitude ever since the moment we stepped into the restaurant!,service,negative
598,"After dinner, take your date to the HUGE dance floor, probably one of the biggest you'll see in NY.",ambience,positive
599,Taj Mahal offeres gret value and great food.,price,positive
600,Has the chef and owner changed???,service,neutral
601,"But don't ever order bacon late at nite (either platter or in sandwiches, for that matter don't from any take out place) as it is from the morning frying turns out hard almost like bacos, hurt my molars.",food,negative
602,"Outstanding Bagels, but you get what you pay for.",price,negative
603,"Pizza - the only pizza in NYC that should not have additional toppings - the crust tastes like the best, freshly baked bread!",food,positive
604,"I found it on a cold night, the perfect spot to warm up.",ambience,positive
605,They even have a section in the menu called American Chinese food!,food,negative
606,"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",service,positive
607,kalbi and nebbiolo do work together.,food,neutral
608,"Best Italian food I ever had (and being Italian, that means alot).",food,positive
609,I will recommend Scopa to all of my friends for a place to go for wonderful Italian food.,food,positive
610,Located at the end of a magnificent block.,ambience,positive
611,"This restaurant is not worth the time, effort, or money to say the least.",price,negative
612,"Looking around, I saw a room full of New Yorkers enjoying a real meal in a real restaurant, not a clubhouse of the fabulous trying to be seen.",food,positive
613,They don't walk around with the trays of Dim Sum.,ambience,positive
614,"Great bar, most gorgeous bartenders you've ever seen (specifically the blond lady).",service,positive
615,We were planning to get dessert but the waitress basically through the bill at us before we had a chance to order.,service,negative
616,I really loved the different and inovated touch that's the cheff gives to the food.,food,positive
617,They came out over cooked and the cheese was almost non existant.,food,negative
618,"I had a terrific meal, and our server guided us toward a very nice wine in our price range, instead of allowing us to purchase a similarly priced wine that wasn't as good.",service,positive
619,"The svc can be a bit rude at times, esp if you have big group, but overall the restaurant is a must!",service,negative
620,"The food is good, especially their more basic dishes, and the drinks are delicious.",food,positive
621,But the main hit was the whole grilled fish.,food,positive
622,"I had the tuna tartare with sake, mushroom ravioli with pinot noir, and the chocolate sampler with a dessert wine for $49.",price,positive
623,The food is delicious and beautifully prepared along with the friendly and personable service.,service,positive
624,Pizza here is consistently good.,food,positive
625,We had a great tiem watching the shows and characters and ar food was just what we were looking for.,ambience,positive
626,"After 2 tries by the waiter to take it away (we hadn't even looked at it yet, we had full beers yet to drink), the manager approached and told us they needed the table for people with reservations.",service,negative
627,Sauce was watery and the food didn't have much flavor.,food,negative
628,My husband and I enjoy Sangria.,food,positive
629,"But after last night, Spice Grill is the only place I'm eating indian cuisine.",food,positive
630,We both opted for a pasta dish and they were served timely and fresh.,food,positive
631,"First the wrong bread came out with the appetizer, then when i tried to order a second glass of wine for my main course...",service,negative
632,"Not sure where the previous reviewer, lonk, dined, but Saul is in a great neighborhood and has great food!",ambience,positive
633,"In an area sadly lacking in decent Thai food, this is one of the best spots.",food,positive
634,Make reservations but expect to be delayed 15-20 minutes as the hosting staff was having difficulty seating guests who arrived with a reservation because they probably had a lot of walk ins being so close to Time Square.,service,conflict
635,The food was average or above including some surprising tasty dishes.,food,positive
636,They don't seem to place an emphasis on specials or fresh ingredients which to me is necessary for good thai.,food,negative
637,Other apetizers and food,food,neutral
638,The noodle and rices dishes taste great.,food,positive
639,The food's as good as ever.,food,positive
640,"The crust is thin, the ingredients are fresh and the staff is friendly.",service,positive
641,Also a little more expensive than your average bagel place.,price,negative
642,"the food was undercooked-the sauce watery, and the vegetables raw.",food,negative
643,And the fried clams had just enough kick to them to make 'em worth eating.,food,positive
644,The sauces used are also not that exciting.,food,negative
645,The secret is the lunch menu which offers a complimentary appetizer with every entree ordered.,food,positive
646,The rice was poor quality and was cooked so badly it was hard.,food,negative
647,We had champagne and caviar and felt like princesses!,food,positive
648,The shrimp scampi was excellent and the antipasti were plentiful.,food,positive
649,"When my dessert came, there was a candle in it - not because anyone asked for one - but because the waiter must have seen me opening my birthday card and gift, and said he knew it was a special occassion of some sort.",service,positive
650,"I got the $10 10-piece dim sum combo, every bite of which was great.",food,positive
651,There is also very limited seating and there can be a substantial wait in getting food at peak times.,service,negative
652,"If it's just a quick martini at the bar (which I recommend Jeffery's) or a mind blowing Roast Chicken, go to Village!",food,positive
653,"There was a long wait for a table outside, but it was a little too hot in the sun anyway so our insde table was very nice.",service,conflict
654,The prices are wonderfully low.,price,positive
655,If you like spicy food get the chicken vindaloo.,food,positive
656,I have never been disappointed but their true strength lays in their amazingly delicious and cheap lunch specials.,price,positive
657,"So much more than the usual bar food, go there to enjoy the menu while sampling one of their hand-crafted beers.",food,positive
658,And its absolutely DELICIOUS.,food,positive
659,No free drink.,price,negative
660,I would say that all was fine and tasty but the heaviness on my stomach someting that i can't not mention or undermine.,food,conflict
661,This is my first time writing a review for a restaurant because the food and service was excellent.,service,positive
662,"While they keep the capex to a minimum, they do put some cash into the bagels, because they among the best in the city.",price,positive
663,I had a huge group for my birthday and we were well taken care of.,service,positive
664,Don't waste money on decor.,ambience,positive
665,They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for?,ambience,positive
666,I have never before eaten 40 pieces of relatively good nigiri.,food,neutral
667,"Given the incredible architecture surrounding it, this place has no character.",ambience,conflict
668,"While the place is not a hotspot hangout, the drinks are unique and pack a lot of bang for the buck.",price,positive
669,Have frequented 'ino for several years and the food remains excellent.,food,positive
670,"Their eggplant is so delicate, sweet tender!",food,positive
671,"Each bite of food at Kai was indeed delicious, fresh, and elegant.",food,positive
672,all the food was excellent - considering the quality of food in most moderately priced restaurants is mediocre this was slightly more pricey and well worth it.,price,positive
673,"If you want to save some money, don't go here.",price,negative
674,My friend got the mushroom pizza which tasted better.,food,positive
675,"I had the cod with paella (spicy and very filling, I'm a big eater and could only eat half) while my boyfriend had the classic fish and chips (again, a big serving - at least 5 pieces of fish and a basketful of fries).",food,conflict
676,"It's a shame that a nice, convenient place like the Pink Pony can be so ruined by lousy service.",ambience,positive
677,You should pass on the calamari.,food,negative
678,"The porcini mushroom pasta special was tasteless, so was the seafood tagliatelle.",food,negative
679,Try the spicy wontons and the salt pepper shrimps.,food,positive
680,THE FOOD PORTIONS ARE REALLY LARGE.,food,positive
681,The fries are yummy.,food,positive
682,"Friendly and informative staff, very attentive and prompt raw bar service.",service,positive
683,Best Taiwanese food in NY!,food,positive
684,This place is a great stop for great food.,food,positive
685,All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.,food,positive
686,"they were dry and disgusting, i didn't even finish my first piece.",food,negative
687,"We laughed when he finally offered us a dessert menu and we left a 10 percent tip, which was generous, I feel.",service,negative
688,And the prices were way to high for what you get.,price,negative
689,The staff ignored my friends and I the entire time we were there.,service,negative
690,"Yet paired with such rude service, would never recommend for anyone interested in carrying any kind of conversation while there.",service,negative
691,"The in-house lady DJ on Saturday nights has outrageously good taste in music, and moreover, takes requests.",ambience,positive
692,"I need at least three rolls to be full, and that's at least $14.00!",price,negative
693,"All of it was simply amazing, unique and tasty and best of all it didn't break the bank.",price,positive
694,"Great wine list, reasonably priced.--Sara",price,positive
695,The hot dogs were cold in the middle and the buns were stale.,food,negative
696,"While the food was excellent, it wasn't cheap (though not extremely expensive either).",price,conflict
697,Beef noodle soup is good as well.,food,positive
698,Delivery service is great too.,service,positive
699,"The food's dazzling flavors overwhelm the palate, truly embracing the beauty of authentic Thai cuisine.",food,positive
700,I recieved prompt service with a smile.,service,positive
701,They pray to their Food Gods to make them into a good pizza like VT's.,food,conflict
702,The place was quiet and delightful.,ambience,positive
703,.the best I've found outside of the Chinatown masters.,food,positive
704,The food is a diamond in rough -- the food is delicious and homemade with the perfect balance of herbs and tomatoes.,food,positive
705,"As much as I like the food there, I can't bring myself to go back.",food,positive
706,It looked like shredded cheese partly done - still in strips.,food,negative
707,The prices and ambience are especially great considering it's in the West Village.,price,positive
708,The soup is pretty good too.,food,positive
709,I have never better enjoyed humble root vegetables or a mushroom consomme - and this chef accomplishes without fats.,food,positive
710,"If you go to Roth's try to be served by Mike, he is GREAT!!",service,positive
711,"not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .",service,negative
712,I always get the Shabu-Shabu dinner and the beef is always fresh.,food,positive
713,The pizza was delivered cold and the cheese wasn't even fully melted!,food,negative
714,We were very surprised by how good the food was on our first visit here on a Sunday night.,food,positive
715,"Nha Trang, while being notorious for utter lack of comfort and decor, horribly slow wait staff and horribly quick meals, is one of the best vietnamese restaurants i've ever been to. the pho is delicious and comes with very fresh vegtables.",service,negative
716,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",ambience,conflict
717,"If I could rate the people this place would be off the charts - unfortunately - the pizza, sorry - not the best in NYC.",service,positive
718,The food is amazing!!!!,food,positive
719,"Having not been home in the last 2 years may skew this reviewer a bit, but the food was tasty and spicy sans the oil that comes floating along at similar venues.",food,positive
720,"The portions are now very small, the sauces are overly-ambitious usually inedible while the service is still good, the restaurant, due to its popularity, seems frantic.",service,positive
721,"For the price, you cannot eat this well in Manhattan.",food,positive
722,"The owner is very friendly and a great guy, go try his pizza, you'll like it!",food,positive
723,The atmosphere is great!!!,ambience,positive
724,"It can be a very fun experience with a group, and kids (6 and over) would love it.",ambience,positive
725,"With so many good restaurants on the UWS, I don't need overpriced food, absurdly arrogant wait-staff who don't recognize they work at a glorified diner, clumsy service, and management that doesn't care.",price,negative
726,"I tend to judge a sushi restaurant by its sea urchin, which was heavenly at sushi rose.",food,positive
727,The service is a little scatty at times but all is forgiven when the food arrives.,service,negative
728,"The bruscetta is a bit soggy, but the salads were fresh, included a nice mix of greens (not iceberg) all dishes are served piping hot from the kitchen.",food,conflict
729,"The atmosphere isn't the greatest , but I suppose that's how they keep the prices down .",price,positive
730,The pickles were great addition.,food,positive
731,"If your favorite Chinese food is General Tao chicken, then this is NOT your place.",food,negative
732,You must try the shrimp appetizers.,food,positive
733,"Not only is the cuisine the best around, the service has always been attentive and charming.",service,positive
734,"Filled with suits, though, so you never really feel terribly comfortable.",ambience,negative
735,"The production is a symphony, alot of fun to experience.The food sublime for the most part.",food,positive
736,"Waiters tend to forget drinks completely, food portions are so tiny, two people have trouble sharing one entree.",service,negative
737,"my wife and i have been going to nyc for years and wouldn't miss roxy,s food is expensive but it's new york!",price,conflict
738,"It's like you are transported to the Italian countryside, very romantic and filled with antiques.",ambience,positive
739,The cold appetizer dishes taste like the way I remember them to taste when I was growing up in Taiwan.,food,positive
740,"Interesting selection, good wines, service fine, fun decor.",ambience,positive
741,Any if you have a reservation you'll wait for max 5 minutes - so have a drink at the bar.,service,positive
742,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",food,positive
743,The food at this place is 'gourmet' Indian cuisine.,food,neutral
744,But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.,ambience,negative
745,"While there are plenty of places to go for a good corned beef sandwich, Katz's has a charm about it.",food,positive
746,"However, looking at the table next to ours, we both sort of wished we had ordered pizza, which looked PERRRRRRRRRFECT.",food,positive
747,Priced at upper intermediate range.,price,negative
748,"The fish was adequate, but inexpertly sliced.",food,conflict
749,"If you live in new york city, you'll find better food at small restaurants outside of time square and spend half the amount.",price,negative
750,Try the olive cream cheese or the lox spread on a whole wheat everything bagel.,food,positive
751,"While it's not Nobu, it sure is a great deal and you definitely will leave feeling satisfied and full.",food,positive
752,It's very spicy but not offensive.,food,neutral
753,"they didn't disappoint, service from the second i arrived at the door was extremely pleasant and attentive with almost one server per table.",service,positive
754,I don't know who they think they are but they have no respect for the residents of the neighborhood ever since they opened their cabaret next door and blasts loud music till three in the morning every weekend during the summer.,ambience,negative
755,The rice to fish ration was also good--they didn't try to overpack the rice.,food,positive
756,They used shredded cheese on top!,food,neutral
757,The food is great and they have a good selecion of wines at reasonable prices.,price,positive
758,"The only positive was the wait staff, which was prompt, knowledgable, and likeable.",service,positive
759,I couldn't reccommend their Godmother pizza any higher.,food,positive
760,"I am not a vegetarian but, almost all the dishes were great.",food,positive
761,I was very impressed by this low-key upper eastsider and their authentically thai cuisine!!!,ambience,positive
762,i would go again if i didn't have to pay.,price,negative
763,"For the location, the prices are very reasonable.",price,positive
764,The food is okay and the prices here are mediocre.,price,neutral
765,My friend's food was also the complete opposite of what it's supposed to taste like (aND look like).,food,negative
766,I ordered the crab cocktail and it was soaked in a lime juice concoction where all you could taste was the lime.,food,negative
767,I would like to return and try some of the other menu items when I don't have to rush off to a show.,food,positive
768,"We have been to this place many times, and always have great food, wine, and service.",service,positive
769,"Hopefully next time, I will save room for dessert.",food,neutral
770,"Not a typical pizza joint, but good for a low key and fairly cheap nice sit down dinner.",food,positive
771,The corned beef was tender and melted in my mouth.,food,positive
772,"The best Chicken pad tai, I've ever had.",food,positive
773,$20 for all you can eat sushi cannot be beaten.,price,positive
774,Over 100 different choices to create your own.,food,positive
775,"Haru serves very fresh fish, has a trendy, modern ambiance, prime location on Park Avenue South and friendly service.",ambience,positive
776,Warm and friendly in the winter and terrific outdoor seating in the warmer months.,ambience,positive
777,"Very romantic fires - I've literally spent hours at Lanterna, drinking wine from their extensive wine and enjoying the ambience.",ambience,positive
778,"I almost wanted to write a bad review, so no one would ever go here and I could have all the dumplings to myself!",food,positive
779,"Always a nice crowd, but never loud.",ambience,positive
780,"My turkey burger was not cooked at all, my friends salmon was completely raw.",food,negative
